"","ISO_A3","area_geo"
"1","BOL",1086818.49322891
"2","BRA",8472727.0388336
"3","COL",1135125.79261564
"4","ECU",255016.084314413
"5","GUF",83184.3866611029
"6","GUY",211214.93925845
"7","PER",1289875.10105616
"8","SUR",145124.273955115
"9","VEN",912690.014808704
