ISO_A3,area_geo
BOL,480044.35243406583
BRA,4186439.1189761297
COL,481737.54143956274
ECU,114838.1633841355
GUF,83144.1549946997
GUY,211097.7423845766
PER,784143.3957750156
SUR,144991.8943433795
VEN,465516.10701572965
