ISO_CODE,area_geo
BOL,342917.15198425617
BRA,2451501.9895977452
COL,383573.4265075384
ECU,100058.17600502746
GUF,62027.71555111652
GUY,95652.3449213831
PER,591093.9291693219
SUR,23932.981602646865
VEN,289820.0420860158
